sr_no,Dta,Dts,QFE,RF,Q,RH,S,SR,Sx,T
1260,130,45,1009.2,0,2520,57.8,9,636,20,22.4
1261,222,34,1009.1,0,2522,60.6,11,619,20,21.81
1262,216,42,1009.1,0,2524,61.5,9,560,18,21.92
1263,2,89,1009.1,0,2526,63.6,9,536,18,21.83
1264,221,32,1009.1,0,2528,64.2,10,491,18,21.44
1265,218,33,1009.1,0,2530,64.4,9,465,16,21.64
1266,105,51,1009.1,0,2532,65.6,9,428,16,21.5
1267,213,32,1009.1,0,2534,65.8,8,406,18,21.45
1268,241,34,1009.2,0,2536,62.5,8,354,17,21.67
1269,210,36,1009.2,0,2538,64.5,9,318,15,21.39
1270,208,31,1009.2,0,2540,64.2,8,294,11,21.15
1271,206,34,1009.3,0,2542,64.4,9,262,15,21.01
1272,313,63,1009.3,0,2544,65.1,9,221,18,20.91
1273,201,25,1009.6,0,2546,65,8,184,16,20.82
1274,203,26,1009.7,0,2548,65.9,8,141,13,20.74
1275,67,50,1009.8,0,2550,67.2,7,93,14,20.16
1276,201,26,1009.9,0,2552,67.2,8,58,14,20.04
1277,209,33,1010.1,0,2554,68.4,7,48,12,19.77
1278,206,28,1010.2,0,2556,69.3,7,31,10,19.56
1279,203,28,1010.2,0,2558,69.9,6,33,11,19.46
1280,207,32,1010.3,0,2560,71.5,7,29,12,19.31
1281,208,26,1010.5,0,2562,73.8,7,12,12,19.12
1282,205,35,1010.6,0,2564,74.7,7,22,15,18.99
1283,203,34,1010.7,0,2566,74.5,7,14,13,18.81
1284,198,24,1010.7,0,2568,74.5,7,14,13,18.79
1285,202,27,1010.8,0,2570,74.7,7,19,12,18.77
1286,204,27,1010.8,0,2572,75.2,7,16,10,18.69
1287,197,24,1011,0,2574,74.2,7,26,13,18.71
1288,197,25,1011,0,2576,74.5,6,20,11,18.57
1289,202,24,1011.1,0,2578,74,6,21,10,18.69
1290,204,24,1011.1,0,2580,73.4,6,10,10,18.6
1291,202,23,1011.2,0,2582,72.4,6,18,9,18.61
1292,202,26,1011.3,0,2584,71.9,6,4,9,18.59
1293,199,24,1011.3,0,2586,71.7,6,8,12,18.52
1294,200,24,1011.4,0,2588,70.1,6,23,9,18.51
1295,197,20,1011.4,0,2590,67.2,7,6,15,18.49
1296,199,58,1011.5,0,2592,64.1,8,13,11,18.38
1297,194,20,1011.5,0,2594,63.7,7,13,10,18.2
1298,195,23,1011.5,0,2596,63.7,7,25,11,17.95
1299,194,26,1011.5,0,2598,63.8,7,26,15,17.78
1300,276,106,1011.4,0,2600,63.7,7,29,12,17.62
1301,192,19,1011.4,0,2602,64.5,6,24,10,17.31
1302,194,19,1011.4,0,2604,65.9,5,21,8,17.04
1303,199,21,1011.5,0,2606,66.4,5,16,9,16.91
1304,199,23,1011.6,0,2608,65.7,6,21,9,16.86
1305,193,24,1011.7,0,2610,66.1,7,11,12,16.71
1306,188,24,1011.8,0,2612,66,8,28,16,16.57
1307,181,19,1011.7,0,2614,66.1,9,20,16,16.43
1308,176,18,1011.6,0,2616,66.5,7,12,12,16.36
1309,177,20,1011.7,0,2618,67,6,18,9,16.08
1310,181,18,1011.8,0,2620,67.8,6,17,11,15.92
1311,181,17,1011.9,0,2622,68.8,6,26,9,15.68
1312,182,19,1011.9,0,2624,69.4,7,25,11,15.57
1313,180,18,1011.9,0,2626,69.9,7,8,15,15.37
1314,182,18,1011.9,0,2628,70.2,7,22,11,15.27
1315,184,17,1012,0,2630,70.6,6,22,11,15.17
1316,184,16,1012,0,2632,71,6,21,10,14.96
1317,185,16,1012,0,2634,71.6,6,19,10,14.84
1318,186,18,1012.1,0,2636,71.8,7,11,10,14.75
1319,184,17,1012.1,0,2638,72,7,19,11,14.64
1320,181,19,1012,0,2640,72.1,7,18,11,14.57
1321,180,18,1011.9,0,2642,72.3,6,13,10,14.47
1322,179,17,1012,0,2644,72.3,6,18,10,14.38
1323,184,20,1012,0,2646,72.4,6,28,11,14.28
1324,186,18,1012.1,0,2648,72.2,7,14,10,14.15
1325,183,20,1012.2,0,2650,71.9,6,22,11,14.06
1326,183,18,1012.3,0,2652,71.6,6,17,10,13.96
1327,183,20,1012.2,0,2654,71,7,23,12,14.1
1328,178,24,1012.2,0,2656,70.6,8,13,15,14.01
1329,174,21,1012.4,0,2658,70,7,26,14,13.92
1330,171,18,1012.5,0,2660,69.6,7,19,11,13.94
1331,171,17,1012.5,0,2662,69.8,6,17,10,13.84
1332,171,18,1012.7,0,2664,70,7,15,10,13.74
1333,173,15,1012.8,0,2666,70.7,6,15,10,13.57
1334,174,15,1012.9,0,2668,70.9,6,6,9,13.41
1335,175,16,1012.9,0,2670,71.1,6,20,10,13.26
1336,175,17,1013.2,0,2672,71.6,6,10,9,13.09
1337,168,18,1013.3,0,2674,71.9,5,11,7,13.01
1338,168,18,1013.4,0,2676,72.1,5,23,8,13.02
1339,167,15,1013.5,0,2678,71.8,5,28,8,12.92
1340,164,13,1013.6,0,2680,72,5,34,8,12.94
1341,171,14,1013.8,0,2682,71.8,5,34,9,13.09
1342,178,16,1014,0,2684,70.7,6,53,9,13.32
1343,174,15,1014.2,0,2686,69.5,6,76,9,13.63
1344,175,16,1014.3,0,2688,68.5,6,127,9,13.93
1345,168,16,1014.5,0,2690,66,6,166,9,14.48
1346,163,19,1014.6,0,2692,64,7,207,10,14.77
1347,157,17,1014.6,0,2694,62.5,7,245,12,15.29
1348,152,19,1014.6,0,2696,60.1,7,283,11,15.8
1349,147,18,1014.8,0,2698,56.3,8,311,12,15.99
1350,151,19,1014.9,0,2700,53.5,8,361,13,16.24
1351,158,19,1015.1,0,2702,49.8,8,383,12,16.74
1352,156,20,1015.2,0,2704,50.8,8,435,14,16.96
1353,150,20,1015,0,2706,50.3,9,462,14,17.29
1354,149,20,1015.1,0,2708,49,9,508,17,17.28
1355,142,26,1015.1,0,2710,48.4,9,537,14,17.89
1356,140,23,1015.1,0,2712,46.4,9,561,15,18.07
1357,136,24,1015.1,0,2714,46.4,8,609,12,18.4
1358,157,24,1015.1,0,2716,45.4,8,650,13,18.64
1359,160,21,1015.2,0,2718,43.6,8,670,13,19.11
1360,141,19,1015.1,0,2720,42.2,8,711,12,19.43
1361,137,20,1015,0,2722,41.4,8,735,12,19.44
1362,144,29,1014.9,0,2724,41.7,7,765,13,20
1363,146,27,1014.8,0,2726,38.5,7,795,10,20.5
1364,145,24,1014.7,0,2728,38.1,6,818,9,21.42
1365,114,32,1014.6,0,2730,37.1,8,855,12,20.96
1366,148,23,1014.5,0,2732,36.5,7,882,9,21.56
1367,123,32,1014.5,0,2734,34.5,6,907,11,21.66
1368,118,33,1014.3,0,2736,34.5,6,927,10,22.19
1369,132,28,1014.3,0,2738,33.3,6,953,10,22.38
1370,343,26,1014.1,0,2740,34.1,6,989,10,22.91
1371,162,33,1014.1,0,2742,32.1,6,996,9,22.96
1372,109,24,1013.9,0,2744,31.7,7,1013,11,23.1
1373,132,30,1013.7,0,2746,30.5,6,1031,10,24.15
1374,106,32,1013.6,0,2748,29.2,6,1051,11,24.15
1375,126,43,1013.5,0,2750,29.6,7,1061,12,24.06
1376,127,70,1013.3,0,2752,30.3,5,1040,8,24.04
1377,167,42,1013.3,0,2754,28,5,1059,8,24.09
1378,60,84,1013.1,0,2756,28.6,6,1062,10,25.53
1379,130,41,1012.9,0,2758,26.4,5,1074,8,25.22
1380,197,35,1012.7,0,2760,26.3,5,1061,9,25.19
1381,195,37,1012.7,0,2762,26.5,6,1062,10,25.19
1382,192,38,1012.6,0,2764,26.3,5,1063,7,25.08
1383,227,35,1012.6,0,2766,35,7,1060,16,25.05
1384,210,40,1012.5,0,2768,36.8,6,1063,12,24.28
1385,223,41,1012.3,0,2770,38.2,8,1052,16,24.37
1386,226,29,1012.3,0,2772,41.2,9,1028,18,23.14
1387,228,32,1012.2,0,2774,42.6,10,1019,18,23.41
1388,237,36,1012.1,0,2776,40.8,10,1029,18,23.45
1389,234,32,1012,0,2778,41.5,10,1009,20,23.4
1390,237,34,1012,0,2780,42.6,11,1002,20,23.31
1391,227,35,1011.8,0,2782,41.2,9,969,18,23.58
1392,227,30,1011.8,0,2784,43,10,968,18,23.35
1393,221,33,1011.8,0,2786,41.7,9,950,18,23.38
1394,224,34,1011.6,0,2788,41.1,8,940,17,23.88
1395,27,102,1011.6,0,2790,42.2,9,925,17,23.75
1396,231,30,1011.5,0,2792,42.9,11,892,20,23.11
1397,228,28,1011.4,0,2794,44.2,11,873,20,23.37
1398,227,35,1011.3,0,2796,45.1,10,836,20,22.79
1399,219,34,1011.2,0,2798,44.8,9,825,16,22.64
1400,333,62,1011.1,0,2800,46,10,780,19,22.8
1401,87,84,1011.1,0,2802,48.1,10,763,19,22.53
1402,231,28,1010.9,0,2804,46.9,11,714,21,22.65
1403,222,30,1010.9,0,2806,46.6,10,686,19,22.63
1404,229,31,1010.7,0,2808,47.9,11,644,18,22.91
1405,49,98,1010.6,0,2810,48.3,9,596,15,22.57
1406,228,28,1010.6,0,2812,47.8,11,568,21,22.48
1407,223,32,1010.6,0,2814,50.8,9,535,17,21.97
1408,228,35,1010.6,0,2816,51.8,10,490,20,21.98
1409,29,98,1010.7,0,2818,54.9,9,450,17,21.65
1410,222,33,1010.6,0,2820,53.4,10,421,19,21.57
1411,220,34,1010.7,0,2822,53.9,9,387,15,21.56
1412,218,34,1010.7,0,2824,54.3,9,367,16,21.49
1413,209,29,1010.7,0,2826,52.9,8,319,14,21.59
1414,202,33,1010.8,0,2828,54.6,8,280,11,21.57
1415,214,30,1010.8,0,2830,54.1,7,268,12,21.4
1416,205,34,1010.8,0,2832,55,7,205,12,21.33
1417,210,31,1010.9,0,2834,56,7,176,15,20.94
1418,205,31,1011,0,2836,57.2,7,110,15,20.66
1419,209,33,1011,0,2838,59.3,6,95,13,20.46
1420,201,32,1011.1,0,2840,59.8,7,63,12,20.12
1421,204,32,1011.2,0,2842,61.5,6,48,10,19.87
1422,203,32,1011.3,0,2844,63.2,7,26,13,19.63
1423,254,62,1011.4,0,2846,65.1,5,24,10,19.35
1424,200,27,1011.4,0,2848,66.2,5,21,8,19.23
1425,204,27,1011.4,0,2850,66.9,5,13,9,19.02
1426,201,25,1011.5,0,2852,67.6,5,14,8,18.91
1427,200,23,1011.6,0,2854,67.8,5,19,7,18.75
1428,198,17,1011.6,0,2856,67.8,4,17,7,18.57
1429,196,24,1011.7,0,2858,67.6,4,10,7,18.53
1430,198,15,1011.7,0,2860,67.8,4,28,7,18.37
1431,200,16,1011.7,0,2862,68.1,4,22,6,18.3
1432,201,20,1011.7,0,2864,68.3,4,24,6,18.18
1433,195,16,1011.8,0,2866,68.6,4,13,5,17.98
1434,197,12,1011.8,0,2868,69.3,3,20,5,17.68
1435,187,9,1011.8,0,2870,70.2,3,32,4,17.53
1436,187,3,1011.7,0,2872,71.5,2,22,4,17.41
1437,192,6,1011.7,0,2874,72.2,3,23,4,17.09
1438,189,9,1011.7,0,2876,73.4,2,21,4,17.05
1439,188,1,1011.7,0,2878,73.6,1,12,4,16.67
1440,190,13,1011.6,0,2880,74.4,3,29,4,16.56
1441,187,7,1011.6,0,2882,74.9,4,14,5,16.37
1442,188,7,1011.6,0,2884,76,2,19,4,16.18
1443,193,9,1011.6,0,2886,76.8,3,25,5,16.24
1444,191,15,1011.5,0,2888,75.7,4,19,6,16.3
1445,184,13,1011.5,0,2890,73.6,5,26,8,16.59
1446,187,15,1011.4,0,2892,71.5,5,15,8,16.6
1447,185,12,1011.4,0,2894,69,5,12,8,16.53
1448,180,15,1011.2,0,2896,67.6,5,14,9,16.31
1449,186,13,1011.1,0,2898,67,5,13,8,16.18
1450,180,14,1011,0,2900,66.6,4,19,6,15.87
1451,185,13,1010.9,0,2902,66.4,4,18,8,15.61
1452,186,8,1010.7,0,2904,67,3,16,5,15.24
1453,183,6,1010.7,0,2906,68.4,2,11,5,14.85
1454,175,6,1010.7,0,2908,70.1,2,17,4,14.41
1455,171,11,1010.7,0,2910,69.9,4,18,7,14.58
1456,175,7,1010.8,0,2912,69.7,4,26,6,14.33
1457,176,9,1010.7,0,2914,70.5,4,12,5,14
1458,181,8,1010.5,0,2916,71.6,5,24,6,13.76
1459,183,9,1010.4,0,2918,72.3,4,19,6,13.67
1460,182,7,1010.3,0,2920,72.7,4,28,5,13.37
1461,169,8,1010.1,0,2922,73,3,10,5,13.23
1462,156,8,1010,0,2924,71.4,4,21,5,13.49
1463,143,8,1009.9,0,2926,66.2,4,12,5,14.33
1464,142,7,1009.9,0,2928,64,4,21,5,14.4
1465,139,4,1009.9,0,2930,64.9,3,10,4,13.8
1466,134,1,1009.8,0,2932,68.4,0,19,1,13.16
1467,110,9,1009.7,0,2934,70.4,2,17,4,12.87
1468,97,7,1009.6,0,2936,67.5,5,18,7,13.74
1469,108,5,1009.7,0,2938,66,4,13,6,13.78
1470,120,9,1009.6,0,2940,66,3,13,5,13.76
1471,97,9,1009.6,0,2942,65,6,17,8,14.26
1472,92,10,1009.5,0,2944,62.3,7,14,9,15.19
1473,95,10,1009.7,0,2946,59.9,6,18,8,15.7
1474,107,11,1009.7,0,2948,59.4,5,13,6,15.46
1475,98,12,1009.7,0,2950,59.3,6,11,9,15.68
1476,95,11,1009.7,0,2952,58.3,6,23,9,15.96
1477,112,12,1009.8,0,2954,58.6,4,32,6,15.69
1478,122,16,1009.8,0,2956,60.4,4,22,5,15.11
1479,109,9,1009.8,0,2958,61.6,4,21,6,14.99
1480,111,9,1009.8,0,2960,62.4,4,14,6,14.67
1481,101,9,1009.9,0,2962,63.5,5,28,7,14.47
1482,101,5,1009.9,0,2964,64.2,5,14,7,14.34
1483,95,7,1010,0,2966,65.2,5,27,6,14.18
1484,86,9,1009.9,0,2968,65.3,5,24,7,14.23
1485,85,5,1010,0,2970,64.9,5,45,6,14.5
1486,95,9,1010,0,2972,63.3,3,67,6,15.17
1487,76,8,1010.1,0,2974,61.9,5,77,6,15.63
1488,77,8,1010.2,0,2976,59.3,4,117,6,16.25
1489,86,11,1010.1,0,2978,58.1,5,174,7,16.71
1490,76,16,1010.1,0,2980,55.6,6,213,11,17.3
1491,70,18,1010.3,0,2982,53.5,8,245,12,17.64
1492,65,16,1010.2,0,2984,52.2,7,285,11,18.13
1493,74,16,1010.3,0,2986,51,7,333,12,18.53
1494,82,15,1010.3,0,2988,47.9,8,356,12,18.94
1495,82,17,1010.4,0,2990,44.9,7,406,10,19.35
1496,80,19,1010.4,0,2992,45.8,7,437,10,20.04
1497,93,20,1010.4,0,2994,45.1,7,469,10,20.37
1498,85,15,1010.4,0,2996,44.8,8,509,12,20.58
1499,99,17,1010.5,0,2998,43.7,7,539,10,21.1
1500,96,21,1010.5,0,3000,42.6,6,582,10,21.68
1501,90,19,1010.5,0,3002,40.7,6,596,9,22.25
1502,63,19,1010.5,0,3004,40.3,7,636,11,22.45
1503,67,17,1010.3,0,3006,40.3,7,671,10,23.17
1504,92,23,1010.2,0,3008,38.3,6,705,10,23.25
1505,94,18,1010.1,0,3010,37.1,6,743,8,23.56
1506,94,22,1010,0,3012,36.3,5,774,8,23.79
1507,109,28,1009.9,0,3014,35.5,4,784,6,24.57
1508,84,42,1009.9,0,3016,35.2,3,818,8,25.56
1509,72,30,1009.7,0,3018,35.1,5,857,7,25.14
1510,110,36,1009.6,0,3020,33.2,5,883,8,25.96
1511,76,29,1009.6,0,3022,31.7,6,903,10,26.67
1512,71,45,1009.5,0,3024,31.8,5,927,8,26.34
1513,90,31,1009.5,0,3026,31.1,4,950,7,26.99
1514,72,35,1009.3,0,3028,31.2,4,971,6,27.2
1515,89,66,1009.2,0,3030,30.5,4,997,7,28.01
1516,154,79,1009,0,3032,29,4,996,7,28.68
1517,78,19,1008.8,0,3034,28.9,5,1012,8,28.98
1518,89,30,1008.6,0,3036,28,4,1023,8,29.33
1519,340,50,1008.5,0,3038,28.5,4,1029,7,30.05
1520,153,94,1008.3,0,3040,30.8,3,1026,7,29.35
1521,263,27,1008.2,0,3042,32,6,1018,10,29.17
1522,230,35,1008,0,3044,35.5,7,1047,11,28.31
1523,227,33,1008,0,3046,36.6,6,1039,10,27.72
1524,232,32,1007.8,0,3048,37.2,7,1039,11,27.93
1525,234,31,1007.8,0,3050,35.9,8,1046,12,27.7
1526,235,30,1007.7,0,3052,38.3,8,1035,13,27.67
1527,244,25,1007.6,0,3054,39.9,9,1037,16,27.4
1528,239,29,1007.5,0,3056,38.4,8,1038,13,26.97
1529,230,31,1007.4,0,3058,38.9,8,1028,12,27.74
1530,236,33,1007.2,0,3060,38,6,1034,12,28.59
1531,304,94,1007,0,3062,36.8,7,1006,11,28.95
1532,289,90,1006.9,0,3064,37.1,8,994,13,27.94
1533,99,75,1006.8,0,3066,38.2,8,998,11,28.4
1534,234,25,1006.6,0,3068,38.4,8,978,12,28.34
1535,230,30,1006.4,0,3070,36.8,7,952,11,28.73
1536,223,34,1006.3,0,3072,36.9,6,955,10,27.76
1537,228,32,1006.2,0,3074,35.2,8,932,13,28.11
1538,224,40,1006,0,3076,32.9,6,904,10,28.72
1539,255,107,1005.9,0,3078,28.2,7,905,13,29.02
1540,227,30,1005.7,0,3080,30.9,9,876,13,29.12
1541,232,31,1005.7,0,3082,28.9,9,859,15,29.08
1542,232,34,1005.6,0,3084,30.4,8,826,16,29.61
1543,225,34,1005.6,0,3086,33.1,9,783,14,27.9
1544,233,40,1005.5,0,3088,32.9,9,778,15,28.61
1545,235,36,1005.4,0,3090,34.5,9,737,17,28.02
1546,233,104,1005.2,0,3092,34.8,8,702,15,27.46
1547,227,31,1005.1,0,3094,36.4,7,666,11,27.23
1548,343,66,1005,0,3096,36.1,7,623,13,27.69
1549,341,55,1005,0,3098,36.9,8,603,15,27.4
1550,231,34,1004.9,0,3100,38.8,8,555,14,27.12
1551,227,34,1004.7,0,3102,37.2,8,527,15,26.98
1552,222,75,1004.7,0,3104,40.4,8,480,13,25.73
1553,225,34,1004.6,0,3106,43.5,8,456,13,25.54
1554,225,33,1004.6,0,3108,44.7,8,415,13,25.65
1555,227,33,1004.5,0,3110,47.8,7,387,16,25.48
1556,231,33,1004.5,0,3112,50,7,357,11,25.07
1557,227,30,1004.4,0,3114,51.4,6,323,10,25.4
1558,229,28,1004.4,0,3116,50.2,6,286,9,25.43
1559,234,23,1004.3,0,3118,48.3,6,250,8,25.54
1560,231,25,1004.3,0,3120,48.8,6,216,10,25.14
1561,228,31,1004.3,0,3122,50.2,6,186,10,24.96
1562,234,26,1004.4,0,3124,50.7,6,140,10,24.51
1563,131,33,1004.4,0,3126,52.1,6,104,9,24.12
1564,293,84,1004.5,0,3128,55.9,7,66,10,23.47
1565,230,25,1004.5,0,3130,58.5,6,44,8,23.06
1566,224,29,1004.5,0,3132,61,5,37,8,22.71
1567,227,22,1004.5,0,3134,63.2,5,27,8,22.32
1568,223,25,1004.4,0,3136,64.3,4,18,7,22.04
1569,223,25,1004.4,0,3138,65.1,4,14,5,21.91
1570,219,20,1004.5,0,3140,66.1,4,19,6,21.8
1571,217,22,1004.4,0,3142,68,3,21,5,21.6
1572,219,23,1004.4,0,3144,69.8,4,7,5,21.51
1573,219,16,1004.5,0,3146,72,3,14,5,21.31
1574,221,16,1004.4,0,3148,73.4,3,21,5,21.22
1575,216,18,1004.5,0,3150,73.6,3,20,4,21.13
1576,219,19,1004.5,0,3152,73.8,3,13,5,20.97
1577,213,11,1004.6,0,3154,73.8,3,14,5,20.92
1578,213,17,1004.5,0,3156,73,3,13,4,20.9
1579,213,11,1004.4,0,3158,73,3,24,4,20.8
1580,217,11,1004.4,0,3160,73.2,3,14,4,20.65
1581,205,10,1004.4,0,3162,72,3,5,4,20.51
1582,204,10,1004.4,0,3164,71.1,3,17,4,20.27
1583,205,23,1004.4,0,3166,69.6,3,13,4,20.27
1584,200,7,1004.3,0,3168,68.9,2,11,4,20.08
1585,212,12,1004.3,0,3170,68.3,0,12,3,19.92
1586,221,10,1004.2,0,3172,68.7,0,16,5,19.78
1587,211,11,1004.1,0,3174,69.7,0,21,2,19.45
1588,220,12,1004.1,0,3176,70.6,2,24,4,19.42
1589,219,10,1004,0,3178,70.8,2,14,3,19.38
1590,226,13,1004.1,0,3180,71.1,3,12,5,19.22
1591,231,13,1004.1,0,3182,71.5,3,24,5,19.18
1592,231,10,1004.1,0,3184,77.8,4,20,6,19.28
1593,230,12,1004.2,0,3186,83.5,4,18,5,19.35
1594,221,16,1004.1,0,3188,85.3,4,16,6,19.43
1595,225,16,1004.1,0,3190,84.2,3,9,5,19.53
1596,226,15,1004,0,3192,85.7,2,23,6,19.58
1597,234,10,1004,0,3194,87.4,4,22,5,19.54
1598,239,7,1004,0,3196,88.1,4,21,5,19.35
1599,236,5,1004,0,3198,88.9,4,24,5,19.24
1600,235,3,1004,0,3200,90.3,2,24,4,19.27
1601,239,12,1004,0,3202,90.9,3,19,5,19.06
1602,249,8,1003.9,0,3204,91.5,4,16,5,18.89
1603,247,8,1004,0,3206,91.5,4,22,6,18.8
1604,250,11,1003.9,0,3208,91.2,3,11,4,18.59
1605,262,12,1003.9,0,3210,91.6,2,19,5,18.6
1606,243,4,1003.8,0,3212,92.3,4,21,5,18.61
1607,244,11,1003.7,0,3214,93.2,4,22,6,18.57
1608,230,6,1003.8,0,3216,94,2,14,4,18.49
1609,229,3,1003.7,0,3218,94.7,1,15,3,18.43
1610,235,3,1003.6,0,3220,95.9,2,17,4,18.45
1611,237,6,1003.6,0,3222,96.8,3,11,5,18.34
1612,233,1,1003.5,0,3224,97.3,1,9,3,18.05
1613,232,0,1003.4,0,3226,97.6,0,20,0,17.96
1614,232,0,1003.4,0,3228,97.1,0,13,0,17.42
1615,103,40,1003.4,0,3230,97.3,2,12,4,17.31
1616,89,0,1003.2,0,3232,97.6,0,19,0,17.58
1617,89,0,1003.1,0,3234,97.6,0,20,0,17.27
1618,89,0,1003.2,0,3236,97.5,0,24,0,17.07
1619,89,0,1003.2,0,3238,97.5,0,18,0,16.92
1620,89,0,1003.2,0,3240,97.6,0,15,0,16.68
1621,89,0,1003.3,0,3242,97.6,0,14,0,16.72
1622,134,74,1003.4,0,3244,97.7,0,23,0,16.83
1623,259,6,1003.4,0,3246,97.7,0,24,0,16.65
1624,289,9,1003.6,0,3248,97.6,0,17,0,16.25
1625,287,5,1003.5,0,3250,97.7,0,13,0,16.5
1626,280,0,1003.5,0,3252,97.7,0,20,0,16.29
1627,261,7,1003.5,0,3254,97.8,1,10,4,16.49
1628,257,1,1003.6,0,3256,97.8,0,27,0,16.66
1629,256,5,1003.5,0,3258,97.9,1,41,4,17.43
1630,252,2,1003.6,0,3260,98,1,65,4,17.52
1631,252,1,1003.5,0,3262,98,0,74,0,17.74
1632,254,10,1003.5,0,3264,98,3,109,4,17.94
1633,235,8,1003.6,0,3266,98.1,3,141,4,18.33
1634,239,7,1003.5,0,3268,98.2,4,211,5,18.69
1635,237,13,1003.4,0,3270,98.1,5,241,7,19.14
1636,240,21,1003.7,0,3272,98,6,139,9,19.68
1637,250,23,1003.8,0,3274,97.8,6,382,8,19.89
1638,237,21,1003.8,0,3276,93.8,6,185,11,20.04
1639,237,25,1003.8,0,3278,87.5,5,307,9,20.31
1640,247,25,1004,0,3280,81.6,6,145,10,20.51
1641,251,21,1004.2,0,3282,82.1,7,214,11,20.46
1642,244,22,1004.3,0,3284,81.4,7,633,11,20.64
1643,253,24,1004.4,0,3286,78.5,7,234,12,20.92
1644,247,21,1004.4,0,3288,76.6,6,297,11,20.78
1645,240,18,1004.5,0,3290,74.5,7,212,10,20.9
1646,244,22,1004.5,0,3292,73.1,7,679,11,21.12
1647,260,22,1004.5,0,3294,71.7,7,716,13,21.72
1648,223,32,1004.5,0,3296,69.1,5,757,9,22.12
1649,245,24,1004.5,0,3298,67.6,6,894,10,21.94
1650,251,26,1004.5,0,3300,67.8,7,847,10,22.3
1651,250,27,1004.6,0,3302,66.6,7,282,12,22.75
1652,263,25,1004.9,0,3304,64.1,8,938,13,22.46
1653,259,27,1005.1,0,3306,65.5,8,1004,13,22.62
1654,258,26,1005.2,0,3308,65,7,309,12,22.57
1655,265,25,1005.2,0,3310,62.1,8,315,16,22.64
1656,257,26,1005.5,0,3312,63.3,9,1055,14,22.44
1657,253,28,1005.5,0,3314,60.6,8,420,14,22.4
1658,244,26,1005.5,0,3316,62.7,8,1127,12,22.03
1659,239,33,1005.6,0,3318,62.2,7,609,13,22.21
1660,271,23,1005.6,0,3320,59.9,8,1057,12,23.31
1661,271,28,1005.6,0,3322,58.2,8,284,15,23.14
1662,248,32,1005.7,0,3324,59.5,9,306,15,22.71
1663,266,31,1005.8,0,3326,58.1,8,802,15,22.92
1664,262,24,1005.9,0,3328,57.1,9,1308,13,22.95
1665,270,34,1005.9,0,3330,55.4,9,774,13,23.62
1666,271,26,1006,0,3332,55.4,10,1271,16,23.29
1667,253,31,1006.1,0,3334,57.7,9,1143,16,22.81
1668,273,22,1005.9,0,3336,55.9,9,1311,15,23.13
1669,252,33,1005.9,0,3338,55.6,8,1219,15,23.2
1670,261,28,1005.9,0,3340,52.4,8,1367,12,23.39
1671,252,35,1006,0,3342,54.3,8,1257,14,22.98
1672,255,34,1006.1,0,3344,55.5,8,1345,16,21.77
1673,252,32,1006,0,3346,55,9,444,18,22.19
1674,255,26,1006,0,3348,55.9,10,537,17,22.36
1675,255,27,1005.9,0,3350,57.9,10,1264,16,21.76
1676,261,21,1006.1,0,3352,53.7,11,414,17,22.24
1677,272,27,1006.1,0,3354,54.3,10,1409,18,21.57
1678,242,23,1006,0,3356,58.8,11,1278,17,21.87
1679,270,27,1005.9,0,3358,55.1,9,389,17,22.12
1680,243,30,1006,0,3360,56.4,9,452,16,21.72
1681,244,33,1006,0,3362,56.2,9,1320,18,21.65
1682,251,38,1006,0,3364,55.7,8,1253,16,22.69
1683,252,28,1006,0,3366,51.5,9,470,16,22.93
1684,257,28,1006,0,3368,52.5,9,425,16,22.23
1685,260,27,1006,0,3370,51.3,8,400,13,22.41
1686,255,26,1005.7,0,3372,54.4,8,518,16,22.41
1687,293,108,1005.6,0,3374,53.5,7,708,12,22.33
1688,246,30,1005.6,0,3376,53.2,7,448,15,22.21
1689,264,29,1005.4,0,3378,54.7,5,335,7,22.04
1690,272,30,1005.3,0,3380,53.8,7,763,11,22.64
1691,229,37,1005.1,0,3382,53.6,5,826,9,22.66
1692,267,28,1005,0,3384,51.4,7,753,10,22.8
1693,284,29,1005,0,3386,52,7,735,11,23.17
1694,253,23,1004.9,0,3388,52,9,656,16,22.61
1695,257,27,1004.9,0,3390,52.1,7,562,12,22.76
1696,278,22,1005.1,0,3392,54.5,8,602,11,22.3
1697,287,26,1005.1,0,3394,55.7,7,534,14,22.52
1698,262,25,1005.2,0,3396,54.8,8,155,13,22.32
1699,267,22,1005.5,0,3398,59.4,10,213,17,21.05
1700,271,27,1005.6,0,3400,58.4,8,459,12,21.9
1701,259,23,1005.7,0,3402,56.1,9,375,15,21.5
1702,274,25,1005.7,0,3404,56.8,10,331,19,21.23
1703,284,26,1005.7,0,3406,55.6,9,301,16,21.38
1704,287,21,1005.7,0,3408,55.7,8,256,12,21.38
1705,275,19,1005.9,0,3410,57.1,8,213,15,21.06
1706,278,24,1005.9,0,3412,57.3,9,171,15,20.75
1707,268,24,1005.8,0,3414,59.9,8,135,15,20.42
1708,260,21,1005.8,0,3416,62.1,9,72,14,19.94
1709,261,25,1005.8,0,3418,63.8,7,49,11,19.72
1710,263,20,1005.7,0,3420,64.3,7,22,14,19.41
1711,264,20,1005.8,0,3422,63.9,8,29,12,19.24
1712,270,18,1005.9,0,3424,64.3,7,29,11,19.14
1713,280,18,1006,0,3426,64.3,6,21,9,19.05
1714,278,21,1006,0,3428,64.5,7,16,12,18.99
